지역,소멸위험지수,여성_20_39세,65세_이상,기준월,산식
광주광역시 서구,0.601,33134,55087,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대구광역시 군위군,0.074,838,11296,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대구광역시 남구,0.427,17167,40203,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대구광역시 달서구,0.497,55187,111111,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대구광역시 달성군,0.506,24170,47722,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대구광역시 동구,0.419,36415,86908,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대구광역시 북구,0.523,44880,85869,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대구광역시 서구,0.315,15345,48739,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대구광역시 수성구,0.477,40742,85343,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대구광역시 중구,0.883,16601,18811,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대전광역시 대덕구,0.427,16642,38941,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대전광역시 동구,0.451,24457,54207,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
대전광역시 서구,0.752,63189,84043,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
