"행정구역","2026년06월_총인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"전라남도 곡성군 (4672000000)","27,657","16,116","          1.72","13,814","13,843","          1.00"
"전라남도 구례군 (4673000000)","24,337","13,725","          1.77","11,905","12,432","          0.96"
"전라남도 고흥군 (4677000000)","58,976","35,087","          1.68","29,289","29,687","          0.99"
"전라남도 보성군 (4678000000)","37,559","21,997","          1.71","18,473","19,086","          0.97"
"전라남도 화순군 (4679000000)","59,909","31,579","          1.90","29,680","30,229","          0.98"
"전라남도 장흥군 (4680000000)","33,952","19,660","          1.73","16,794","17,158","          0.98"
"전라남도 강진군 (4681000000)","31,666","18,123","          1.75","15,593","16,073","          0.97"
"전라남도 해남군 (4682000000)","62,027","34,543","          1.80","31,262","30,765","          1.02"
"전라남도 영암군 (4683000000)","50,076","28,488","          1.76","26,445","23,631","          1.12"
"전라남도 무안군 (4684000000)","95,659","46,692","          2.05","48,111","47,548","          1.01"
"전라남도 함평군 (4686000000)","29,601","17,785","          1.66","15,132","14,469","          1.05"
"전라남도 영광군 (4687000000)","53,902","28,690","          1.88","27,011","26,891","          1.00"
"전라남도 장성군 (4688000000)","43,095","23,602","          1.83","22,160","20,935","          1.06"
"전라남도 완도군 (4689000000)","44,175","24,962","          1.77","22,482","21,693","          1.04"
"전라남도 진도군 (4690000000)","27,882","16,358","          1.70","14,068","13,814","          1.02"
"전라남도 신안군 (4691000000)","42,319","22,512","          1.88","22,747","19,572","          1.16"
"경상북도  (4700000000)","2,495,919","1,303,318","          1.92","1,264,218","1,231,701","          1.03"
"경상북도 포항시 (4711000000)","487,008","240,127","          2.03","246,682","240,326","          1.03"
"경상북도 포항시 남구 (4711100000)","212,298","108,394","          1.96","110,104","102,194","          1.08"
"경상북도 포항시 북구 (4711300000)","274,710","131,733","          2.09","136,578","138,132","          0.99"
"경상북도 경주시 (4713000000)","243,051","127,119","          1.91","121,760","121,291","          1.00"
"경상북도 김천시 (4715000000)","132,740","69,151","          1.92","66,946","65,794","          1.02"
"경상북도 안동시 (4717000000)","151,864","81,511","          1.86","75,321","76,543","          0.98"
"경상북도 구미시 (4719000000)","402,726","195,072","          2.06","208,468","194,258","          1.07"
"경상북도 영주시 (4721000000)","96,440","51,422","          1.88","47,988","48,452","          0.99"
"경상북도 영천시 (4723000000)","94,107","53,710","          1.75","48,102","46,005","          1.05"
"경상북도 상주시 (4725000000)","89,228","48,934","          1.82","44,149","45,079","          0.98"
"경상북도 문경시 (4728000000)","64,774","36,087","          1.79","31,877","32,897","          0.97"
"경상북도 경산시 (4729000000)","263,406","133,470","          1.97","132,254","131,152","          1.01"
"경상북도 의성군 (4773000000)","47,952","29,228","          1.64","24,138","23,814","          1.01"
